filename,category,true_label,predicted_label,abnormal_probability,error_type
1-100032-A-0.wav,dog,0,1,0.9832813143730164,FP
1-101296-A-19.wav,thunderstorm,0,1,0.6772741675376892,FP
1-101296-B-19.wav,thunderstorm,0,1,0.5315099954605103,FP
1-103995-A-30.wav,door_wood_knock,1,0,8.902709819347265e-11,FN
1-103999-A-30.wav,door_wood_knock,1,0,5.597028618353761e-09,FN
1-115545-A-48.wav,fireworks,0,1,0.5328123569488525,FP
1-115545-B-48.wav,fireworks,0,1,0.9989734292030334,FP
1-115545-C-48.wav,fireworks,0,1,1.0,FP
1-115546-A-48.wav,fireworks,0,1,1.0,FP
1-115920-A-22.wav,clapping,0,1,0.9962636828422546,FP
1-11687-A-47.wav,airplane,0,1,0.9867145419120789,FP
1-119125-A-45.wav,train,0,1,0.5270658135414124,FP
1-13571-A-46.wav,church_bells,0,1,0.9999158382415771,FP
1-137296-A-16.wav,wind,0,1,0.5021274089813232,FP
1-155858-A-25.wav,footsteps,1,0,0.2745223939418793,FN
1-155858-C-25.wav,footsteps,1,0,0.007889372296631336,FN
1-155858-D-25.wav,footsteps,1,0,0.15654216706752777,FN
1-160563-A-48.wav,fireworks,0,1,0.9999993443489075,FP
1-160563-B-48.wav,fireworks,0,1,1.0,FP
1-16568-A-3.wav,cow,0,1,0.9994366765022278,FP
1-172649-A-40.wav,helicopter,0,1,0.5903071165084839,FP
1-172649-C-40.wav,helicopter,0,1,0.5497217178344727,FP
1-172649-E-40.wav,helicopter,0,1,0.7135059833526611,FP
1-172649-F-40.wav,helicopter,0,1,0.9711760878562927,FP
1-17585-A-7.wav,insects,0,1,0.9773887991905212,FP
1-18074-B-6.wav,hen,0,1,0.7130995988845825,FP
1-181071-A-40.wav,helicopter,0,1,0.9595701694488525,FP
1-181071-B-40.wav,helicopter,0,1,0.9732512831687927,FP
1-18527-A-44.wav,engine,0,1,0.5138375163078308,FP
1-18527-B-44.wav,engine,0,1,0.5471653938293457,FP
1-18631-A-23.wav,breathing,0,1,0.7892685532569885,FP
1-19118-A-24.wav,coughing,0,1,0.9999946355819702,FP
1-19501-A-7.wav,insects,0,1,0.7562971115112305,FP
1-196660-A-8.wav,sheep,0,1,0.9271807670593262,FP
1-196660-B-8.wav,sheep,0,1,0.9986887574195862,FP
1-19840-A-36.wav,vacuum_cleaner,0,1,0.9999712705612183,FP
1-19872-A-36.wav,vacuum_cleaner,0,1,1.0,FP
1-19872-B-36.wav,vacuum_cleaner,0,1,1.0,FP
1-202111-A-3.wav,cow,0,1,0.9386277198791504,FP
1-20545-A-28.wav,snoring,0,1,0.9993466734886169,FP
1-20736-A-18.wav,toilet_flush,0,1,0.9200521111488342,FP
1-208757-A-2.wav,pig,0,1,0.5574250817298889,FP
1-223162-A-25.wav,footsteps,1,0,0.45787009596824646,FN
1-22882-A-44.wav,engine,0,1,0.5710760354995728,FP
1-23996-A-35.wav,washing_machine,0,1,0.9977591037750244,FP
1-24524-C-19.wav,thunderstorm,0,1,0.997068464756012,FP
1-254507-A-43.wav,car_horn,0,1,0.9959465265274048,FP
1-25781-A-48.wav,fireworks,0,1,1.0,FP
1-26176-A-43.wav,car_horn,0,1,0.9254946112632751,FP
1-26188-A-30.wav,door_wood_knock,1,0,0.05452324450016022,FN
1-26222-A-10.wav,rain,0,1,0.8346532583236694,FP
1-27165-A-35.wav,washing_machine,0,1,0.9844699501991272,FP
1-27403-A-28.wav,snoring,0,1,0.5479446053504944,FP
1-27405-A-28.wav,snoring,0,1,0.5812220573425293,FP
1-28005-A-18.wav,toilet_flush,0,1,0.7272748351097107,FP
1-28135-A-11.wav,sea_waves,0,1,0.7736351490020752,FP
1-29561-A-10.wav,rain,0,1,0.8310617208480835,FP
1-29680-A-21.wav,sneezing,0,1,0.5277829766273499,FP
1-30039-A-26.wav,laughing,0,1,0.9977740049362183,FP
1-30043-A-26.wav,laughing,0,1,0.9772276878356934,FP
1-30214-A-18.wav,toilet_flush,0,1,0.5206676125526428,FP
1-30226-A-0.wav,dog,0,1,0.614322304725647,FP
1-30344-A-0.wav,dog,0,1,0.5881453156471252,FP
1-31482-B-42.wav,siren,1,0,4.432852739391646e-13,FN
1-32373-A-35.wav,washing_machine,0,1,0.8651214241981506,FP
1-32373-B-35.wav,washing_machine,0,1,0.9375845193862915,FP
1-32579-A-29.wav,drinking_sipping,0,1,0.9867914915084839,FP
1-34495-A-14.wav,chirping_birds,0,1,0.6117793917655945,FP
1-35687-A-38.wav,clock_tick,0,1,0.9906265735626221,FP
1-36164-A-26.wav,laughing,0,1,0.9999997615814209,FP
1-36393-A-23.wav,breathing,0,1,0.9979254603385925,FP
1-36402-A-23.wav,breathing,0,1,0.9733384251594543,FP
1-36929-A-47.wav,airplane,0,1,1.0,FP
1-37226-A-29.wav,drinking_sipping,0,1,0.9661552906036377,FP
1-39901-A-11.wav,sea_waves,0,1,0.7650772333145142,FP
1-39901-B-11.wav,sea_waves,0,1,0.7918131947517395,FP
1-39937-A-28.wav,snoring,0,1,0.8190462589263916,FP
1-40621-A-28.wav,snoring,0,1,0.548183023929596,FP
1-40967-A-28.wav,snoring,0,1,0.5084545016288757,FP
1-4211-A-12.wav,crackling_fire,0,1,0.5329184532165527,FP
1-42139-A-38.wav,clock_tick,0,1,0.9814961552619934,FP
1-43807-A-47.wav,airplane,0,1,0.9996159076690674,FP
1-43807-B-47.wav,airplane,0,1,0.6892695426940918,FP
